date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:34:56	393/393	---M-Z	200	added ('OK')	text/css	etag:%22189-51f5271f1bac0-gzip%22	http://demo.rtcvid.net/securityfirst/css/es/securityfirst_policyholder.css?cb=1.1.20180424.2	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/es/securityfirst_policyholderb858.css	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:04:58%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/es/failover.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/es/failover.html	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:57	107211/107211	---M--	200	added ('OK')	image/jpeg	etag:%221a2cb-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/images/card12/card12-btns.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/card12/card12-btns.jpg	(from http://demo.rtcvid.net/securityfirst/css/rtc.mobile-policyholder.css?cb=1.1.20180424.2)
10:34:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:04:58%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/es/playback-failed.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/es/playback-failed.html	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:04:58%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/es/technical-error.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/es/technical-error.html	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:57	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Sep%202018%2005:04:59%20GMT	http://demo.rtcvid.net/securityfirst/new/templates/es/corporate-firewall.html	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/templates/es/corporate-firewall.html	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:58	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:04:59%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmux7geuzty1&rn=1537938194000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascript8125.gif	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:58	95113/95113	---M--	200	added ('OK')	image/jpeg	etag:%2217389-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/es/images/social-icon-690x400.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/es/images/social-icon-690x400.jpg	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:58	1656/1656	---M-Z	200	added ('OK')	text/javascript	etag:%22678-51b7850500440-gzip%22	http://demo.rtcvid.net/securityfirst/js/es/rtc.strings.js?cb=1.1.20180424.2	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/js/es/rtc.stringsb858.js	(from http://demo.rtcvid.net/securityfirst/new/?language=es)
10:34:59	21732/21732	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:05:00%20GMT	http://demo.rtcvid.net/securityfirst/new/GET?language=en	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/GET07a0.html	(from http://demo.rtcvid.net/securityfirst/new/GET)
10:35:00	22067/22067	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Sep%202018%2005:05:01%20GMT	http://demo.rtcvid.net/securityfirst/new/GET?language=es	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/new/GET9d3b.html	(from http://demo.rtcvid.net/securityfirst/new/GET)
10:35:02	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:05:01%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmux9j726ltm&rn=1537938197000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascript4598.gif	(from http://demo.rtcvid.net/securityfirst/new/GET)
10:35:03	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:05:04%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmuysb88alde&rn=1537938285000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascript5d1b.gif	(from http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share&language=en)
10:35:03	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:05:04%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmuyt3v0mxjn&rn=1537938286000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascripte65c.gif	(from http://demo.rtcvid.net/securityfirst/new/?ls=facebook&campaign=SM.Share&language=es)
10:35:04	17342/17342	---M--	200	added ('OK')	image/png	etag:%2243be-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/es/images/side-btns.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/es/images/side-btns.png	(from http://demo.rtcvid.net/securityfirst/css/es/securityfirst_policyholder.css?cb=1.1.20180424.2)
10:35:04	2577/2577	---M--	200	added ('OK')	image/png	etag:%22a11-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/es/images/loading-bg-image.png	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/es/images/loading-bg-image.png	(from http://demo.rtcvid.net/securityfirst/css/es/securityfirst_policyholder.css?cb=1.1.20180424.2)
10:35:05	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:05:06%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmuz1h07r1asm&rn=1537938300000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascripte22d.gif	(from http://demo.rtcvid.net/securityfirst/new/GET?language=en)
10:35:05	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2026%20Sep%202018%2005:05:07%20GMT	http://demo.rtcvid.net/securityfirst/css/images/noJavascript.gif?c=SECURITYFIRST&u=fvmuz224mpm5o&rn=1537938301000&s=START	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/images/noJavascript10f3.gif	(from http://demo.rtcvid.net/securityfirst/new/GET?language=es)
10:35:07	44130/44130	---M--	200	added ('OK')	image/jpeg	etag:%22ac62-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/es/images/cardStart/cardStart-btns.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/es/images/cardStart/cardStart-btns.jpg	(from http://demo.rtcvid.net/securityfirst/css/es/securityfirst_policyholder.css?cb=1.1.20180424.2)
10:35:11	113618/113618	---M--	200	added ('OK')	image/jpeg	etag:%221bbd2-51b7850500440%22	http://demo.rtcvid.net/securityfirst/css/es/images/card12/card12-btns.jpg	C:/Users/user01/Downloads/http___demo.rtcvid.net_securityfirst_new_/demo.rtcvid.net/securityfirst/css/es/images/card12/card12-btns.jpg	(from http://demo.rtcvid.net/securityfirst/css/es/securityfirst_policyholder.css?cb=1.1.20180424.2)
